batsmanname,sum(runs),sum(4s),sum(6s),boundary_per
ShubmanGill,1851,186,56,762.1523500810373
FafduPlessis,1831,169,72,699.593664664118
ShikharDhawan,1392,156,40,641.2413793103449
JosButtler,1509,152,72,636.6282306163022
RuturajGaikwad,1593,143,67,597.2354048964219
YashasviJaiswal,1132,142,46,592.3816254416961
ViratKohli,1385,140,33,574.2960288808664
DavidWarner,1137,136,31,560.3588390501319
SuryakumarYadav,1225,128,54,538.4489795918367
KLRahul,1516,121,64,509.3298153034301
IshanKishan,1113,120,39,501.02425876010784
SanjuSamson,1304,113,67,482.8282208588957
DevduttPadikkal,1048,115,34,479.46564885496184
GlennMaxwell,1214,108,67,465.1136738056013
RahulTripathi,1083,110,41,462.7146814404432
NitishRana,1157,102,59,438.5963699222126
PrithviShaw,815,102,28,428.6134969325153
DevonConway,924,99,30,415.4805194805195
RohitSharma,981,96,44,410.91131498470946
MayankAgarwal,907,94,30,395.84564498346197
